57.1413562819552	0.834054673100006	-0.809852311435201	9.26955512894084e-10	1.38298388634637e-10	-1.38244704439255e-10
58.7034905744054	0.75924038654346	-0.72807961935024	1.01932663716779e-09	1.51952357956323e-10	-1.51952369779445e-10
60.1515524440235	0.599255513728686	-0.688821483074612	1.17790054691249e-09	1.7559117424786e-10	-1.75591205197985e-10
61.555768374991	0.673468602212388	-0.80496041723881	1.02662385886027e-09	1.53040160615137e-10	-1.53040248178194e-10
63.2468034798727	1.32473949841395	-1.01756650266935	1.12616258370172e-09	1.27512997569967e-10	-1.27513454341608e-10
73.087	0.735	-0.802	1.000957825e-09	1.586726204e-10	-1.586728178e-10
74.592	0.739	-0.77	1.091935537e-09	1.609972357e-10	-1.609974331e-10
76.111	0.860	-0.78	9.82451575e-10	1.46455337e-10	-1.464555015e-10
77.566	0.843	-0.595	1.104148675e-09	1.679725292e-10	-1.679726608e-10
79.103	0.774	-0.694	1.10578545e-09	1.663092368e-10	-1.663094013e-10
80.806	0.764	-0.93	9.37144656e-10	1.425664254e-10	-1.42566557e-10
82.395	0.742	-0.825	1.02054813e-09	1.521344692e-10	-1.521345679e-10
83.798	0.697	-0.66	1.156768935e-09	1.72441073e-10	-1.724411717e-10
85.019	0.618	-0.524	1.374760716e-09	2.0493739e-10	-2.049374887e-10
86.274	0.692	-0.637	1.181525198e-09	1.761315318e-10	-1.761315976e-10
87.836	0.975	-0.87	8.38274563e-10	1.275254995e-10	-1.275255324e-10
89.490	0.997	-0.679	9.2279565e-10	1.403835433e-10	-1.403836091e-10
91.080	0.934	-0.592	1.028670811e-09	1.533452879e-10	-1.533453208e-10
93.010	0.738	-0.997	8.96428932e-10	1.363724082e-10	-1.363724411e-10
94.401	0.769	-0.652	1.114654632e-09	1.695707783e-10	-1.695708112e-10
95.903	0.534	-0.733	1.212516669e-09	1.922091038e-10	-1.922091367e-10
97.190	0.724	-0.753	1.056552903e-09	1.640582517e-10	-1.640582846e-10
98.765	0.783	-0.852	9.83935365e-10	1.466765566e-10	-1.466765895e-10
100.419	0.738	-0.871	1.000261332e-09	1.491102683e-10	-1.491103012e-10
102.051	0.919	-0.894	8.73994093e-10	1.32959428e-10	-1.32959428e-10
103.971	1.037	-1.001	7.80363654e-10	1.163298269e-10	-1.163298598e-10
105.722	0.772	-0.714	1.040168703e-09	1.582393274e-10	-1.582393274e-10
107.399	0.814	-0.905	9.12885841e-10	1.360850925e-10	-1.360850925e-10
108.985	0.726	-0.772	1.031521925e-09	1.569238867e-10	-1.569239196e-10
110.310	0.658	-0.599	1.228506727e-09	1.868909175e-10	-1.868909504e-10
111.716	0.639	-0.747	1.114943823e-09	1.696147656e-10	-1.696147656e-10
113.067	0.991	-0.713	9.06629577e-10	1.379242354e-10	-1.379242354e-10
114.797	0.845	-0.738	9.30858124e-10	1.506733144e-10	-1.506733144e-10
116.502	0.681	-0.86	1.002589336e-09	1.525224589e-10	-1.525224918e-10
117.969	0.794	-0.786	9.92741708e-10	1.479893324e-10	-1.479893324e-10
119.580	0.909	-0.817	8.95094837e-10	1.361694481e-10	-1.36169481e-10
121.537	1.030	-1.048	7.20581722e-10	1.142271879e-10	-1.142272208e-10
123.659	1.044	-1.093	7.34014463e-10	1.094204979e-10	-1.094204979e-10
125.668	0.685	-0.964	9.22513039e-10	1.43244955e-10	-1.432449879e-10
127.461	0.943	-1.108	7.30274062e-10	1.157636508e-10	-1.157636837e-10
129.497	0.826	-1.093	7.92688323e-10	1.230861709e-10	-1.230862038e-10
131.424	0.821	-1.101	8.1659774e-10	1.21731316e-10	-1.217313489e-10
133.076	0.887	-0.831	8.9920964e-10	1.367954364e-10	-1.367954693e-10
134.800	0.959	-0.836	8.47683634e-10	1.316256949e-10	-1.316256949e-10
136.614	0.947	-0.855	8.44234398e-10	1.310901158e-10	-1.310901487e-10
138.454	0.856	-0.893	8.97019158e-10	1.337198457e-10	-1.337198457e-10
140.225	0.693	-0.915	9.3125753e-10	1.476237147e-10	-1.476237476e-10
141.992	1.124	-1.073	7.03225985e-10	1.069806997e-10	-1.069807326e-10
144.221	0.929	-1.106	7.47516952e-10	1.160720883e-10	-1.160721212e-10
146.519	1.146	-1.368	5.95849926e-10	9.44546169e-11	-9.44546498e-11
148.680	1.214	-1.015	6.82671052e-10	1.060030762e-10	-1.060030762e-10
151.383	1.315	-1.489	5.25865375e-10	8.51191761e-11	-8.5119209e-11
154.150	1.490	-1.453	5.3325307e-10	7.94927168e-11	-7.94927497e-11
156.935	1.278	-1.294	5.85973346e-10	9.28889717e-11	-9.28889717e-11
159.185	1.439	-0.972	6.57417999e-10	1.00012052e-10	-1.000120849e-10
162.011	1.290	-1.387	5.91898965e-10	9.00447338e-11	-9.00447338e-11
164.701	1.322	-1.4	5.91147529e-10	8.81231435e-11	-8.81231435e-11
167.527	1.332	-1.504	5.6742301e-10	8.45864922e-11	-8.45865251e-11
170.453	1.093	-1.593	5.99050438e-10	8.93012267e-11	-8.93012596e-11
172.905	1.094	-1.359	6.16376894e-10	9.97698093e-11	-9.97698422e-11
175.793	1.802	-1.794	3.93554406e-10	6.94024513e-11	-6.94024842e-11
179.366	1.384	-1.771	5.02417874e-10	7.48960604e-11	-7.48960933e-11
181.931	1.148	-1.181	5.92746469e-10	1.045295839e-10	-1.045296168e-10
184.494	1.219	-1.416	5.59864893e-10	9.06224907e-11	-9.06225236e-11
187.479	1.728	-1.766	4.49296218e-10	6.6977162e-11	-6.69771949e-11
191.047	2.346	-1.84	3.60097738e-10	5.82872192e-11	-5.82872521e-11
